date_time,b_code,usage,peak
201901050815,SGBD,354.78,1419.12
201901050830,SGBD,366.48,1465.92
201901050845,SGBD,374.4,1497.6
201901050900,SGBD,391.32,1565.28
201901050915,SGBD,401.22,1604.88
201901050930,SGBD,401.58,1606.32
201901050945,SGBD,408.6,1634.4
201901051000,SGBD,410.58,1642.32
201901051015,SGBD,412.56,1650.24
201901051030,SGBD,417.78,1671.12
201901051045,SGBD,414.9,1659.6
201901051100,SGBD,415.62,1662.48
201901051115,SGBD,420.66,1682.64
201901051130,SGBD,416.52,1666.08
201901051145,SGBD,419.4,1677.6
201901051200,SGBD,405.9,1623.6
201901051215,SGBD,400.68,1602.72
201901051230,SGBD,399.24,1596.96
201901051245,SGBD,395.64,1582.56
201901051300,SGBD,397.44,1589.76
201901051315,SGBD,410.04,1640.16
201901051330,SGBD,403.74,1614.96
201901051345,SGBD,401.4,1605.6
201901051400,SGBD,402.12,1608.48
201901051415,SGBD,396.9,1587.6
201901051430,SGBD,397.26,1589.04
201901051445,SGBD,389.7,1558.8
201901051500,SGBD,396.18,1584.72
201901051515,SGBD,394.74,1578.96
201901051530,SGBD,395.28,1581.12
201901051545,SGBD,401.4,1605.6
201901051600,SGBD,394.56,1578.24
201901051615,SGBD,396.36,1585.44
201901051630,SGBD,392.04,1568.16
201901051645,SGBD,390.78,1563.12
201901051700,SGBD,393.3,1573.2
201901051715,SGBD,395.82,1583.28
201901051730,SGBD,389.7,1558.8
201901051745,SGBD,391.5,1566
201901051800,SGBD,393.12,1572.48
201901051815,SGBD,384.84,1539.36
201901051830,SGBD,386.46,1545.84
201901051845,SGBD,378.18,1512.72
201901051900,SGBD,358.02,1432.08
201901051915,SGBD,356.58,1426.32
201901051930,SGBD,349.74,1398.96
201901051945,SGBD,347.58,1390.32
201901052000,SGBD,346.5,1386
201901052015,SGBD,339.48,1357.92
201901052030,SGBD,334.8,1339.2
201901052045,SGBD,333.72,1334.88
201901052100,SGBD,317.52,1270.08
201901052115,SGBD,322.56,1290.24
201901052130,SGBD,316.8,1267.2
201901052145,SGBD,308.88,1235.52
201901052200,SGBD,305.46,1221.84
201901052215,SGBD,302.76,1211.04
201901052230,SGBD,300.24,1200.96
201901052245,SGBD,295.56,1182.24
201901052300,SGBD,292.5,1170
201901052315,SGBD,291.78,1167.12
201901052330,SGBD,290.7,1162.8
201901052345,SGBD,287.64,1150.56
201901060000,SGBD,289.62,1158.48
201901060015,SGBD,292.14,1168.56
201901060030,SGBD,289.62,1158.48
201901060045,SGBD,289.62,1158.48
201901060100,SGBD,287.28,1149.12
201901060115,SGBD,286.38,1145.52
201901060130,SGBD,278.82,1115.28
201901060145,SGBD,276.84,1107.36
201901060200,SGBD,277.02,1108.08
201901060215,SGBD,275.22,1100.88
201901060230,SGBD,276.66,1106.64
201901060245,SGBD,277.02,1108.08
201901060300,SGBD,274.68,1098.72
201901060315,SGBD,274.86,1099.44
201901060330,SGBD,275.94,1103.76
201901060345,SGBD,277.92,1111.68
201901060400,SGBD,277.56,1110.24
201901060415,SGBD,277.56,1110.24
201901060430,SGBD,278.46,1113.84
201901060445,SGBD,276.84,1107.36
201901060500,SGBD,275.58,1102.32
201901060515,SGBD,279,1116
201901060530,SGBD,283.68,1134.72
201901060545,SGBD,281.7,1126.8
201901060600,SGBD,291.42,1165.68
201901060615,SGBD,305.46,1221.84
201901060630,SGBD,316.44,1265.76
201901060645,SGBD,327.78,1311.12
201901060700,SGBD,333.54,1334.16
201901060715,SGBD,343.08,1372.32
201901060730,SGBD,353.52,1414.08
201901060745,SGBD,355.5,1422
201901060800,SGBD,362.34,1449.36
201901060815,SGBD,370.8,1483.2
201901060830,SGBD,378.9,1515.6
201901060845,SGBD,389.52,1558.08
201901060900,SGBD,398.52,1594.08
201901060915,SGBD,401.58,1606.32
201901060930,SGBD,405.9,1623.6
201901060945,SGBD,409.14,1636.56
201901061000,SGBD,410.58,1642.32
201901061015,SGBD,412.2,1648.8
201901061030,SGBD,414.72,1658.88
201901061045,SGBD,418.5,1674
201901061100,SGBD,408.78,1635.12
201901061115,SGBD,410.94,1643.76
201901061130,SGBD,408.78,1635.12
201901061145,SGBD,413.64,1654.56
201901061200,SGBD,390.96,1563.84
201901061215,SGBD,387.18,1548.72
